钻孔编号,位置,孔深(m),含水层岩性,水位(m),滤水管下入深度(m),抽水实验_降深(m),抽水实验_涌水量(L/s)
221,"乌市八一面粉厂东约250m",59.40,"0—59.0 砂砾石 59.0—59.4 砾岩",,9.32—54.21,0.5,9.776
222,"乌市燕儿窝烈士墓附近河床",31.50,"0—30.28 砂砾石 30.28—31.50 砂岩",1.08,4.52—29.14,0.28,24.42
232,阜康天龙钢铁厂,27.2,"27.2 以上砂砾石以下基岩",2.65,4—24,0.485,16.682
271,安集海河河谷洼地,20,"砂砾石层厚 20m 以下为侏罗系岩层",,,,5
272,"清水河河谷洼地(北)",75,砂砾石,38,,,30
273,"清水河河谷洼地(南)",70,砂砾石,35,,,20
